,Id,date,org,tld,ccs,bcced,mail_type,images,urls,salutations,designation,chars_in_subject,chars_in_body,label,time_tz_corr,time,weekdays_tz_corr,weekdays,seconds,zero_sec
0,0,"Thu, 17 Mar 2016 01:57:16 +0000",coursera,org,0,0,multipart/alternative,23,188,0,1,38,136818,0,7036,7036,3,3,7036,0
1,1,"Fri, 19 Jan 2018 05:20:29 +0000",google,com,0,0,multipart/alternative,1,6,0,0,44,2467,0,19229,19229,4,4,19229,0
2,2,"Mon, 21 Aug 2017 10:54:50 +0530",iiitd,ac.in,1,0,multipart/mixed,0,1,1,0,78,2809449,2,19490,39290,0,0,39290,0
3,3,"Fri, 3 Mar 2017 03:46:08 +0000",,,0,0,multipart/alternative,4,43,0,0,61,13775,0,13568,13568,4,4,13568,0
4,4,"Thu, 8 Jun 2017 03:51:09 +0000 (UTC)",linkedin,com,0,0,multipart/alternative,4,26,0,0,29,22601,1,13869,13869,3,3,13869,0
5,5,"Mon, 31 Oct 2016 21:13:28 +0530",iiitd,ac.in,0,0,multipart/alternative,0,28,1,0,37,15848,2,56608,76408,0,0,76408,0
6,6,"Mon, 22 Jan 2018 02:28:34 +0000 (UTC)",flipkartletters,com,0,0,text/html,42,97,1,0,88,68612,3,8914,8914,0,0,8914,0
7,7,"Tue, 10 Jan 2017 03:20:53 -0600 (CST)",amazon,com,0,0,multipart/alternative,9,74,1,1,82,41354,0,33653,12053,1,1,12053,0
8,8,"Thu, 11 Aug 2016 11:45:38 -0700 (PDT)",classroom,google.com,0,0,multipart/alternative,4,10,0,0,101,4294,0,67538,42338,3,3,42338,0
9,9,"Tue, 10 May 2016 13:43:27 +0530",iiitd,ac.in,3,0,multipart/alternative,0,0,1,0,38,2004,2,29607,49407,1,1,49407,0
10,10,"Fri, 07 Apr 2017 15:32:00 +0530",nrsc,gov.in,0,0,multipart/alternative,0,4,1,0,32,1210,0,36120,55920,4,4,55920,1
11,11,"Sat, 20 Apr 2019 03:27:01 -0700",google,com,0,0,text/html,4,20,0,0,35,7156,0,37621,12421,5,5,12421,0
12,12,"Sat, 11 Nov 2017 10:34:06 +0000 (UTC)",udacity,com,0,0,multipart/alternative,14,49,0,1,38,76759,3,38046,38046,5,5,38046,0
13,13,"Fri, 10 Jun 2016 16:02:48 +0000",topcoder,com,0,0,multipart/alternative,12,51,0,0,66,75677,0,57768,57768,4,4,57768,0
14,14,"Thu, 27 Jun 2019 05:19:48 -0700",google,com,0,0,text/html,20,84,0,0,36,25021,0,44388,19188,3,3,19188,0
15,15,"Fri, 28 Aug 2015 08:54:35 -0700",facebookmail,com,0,0,multipart/alternative,4,16,0,0,33,11372,1,57275,32075,4,4,32075,0
16,16,"Tue, 26 Sep 2017 17:18:40 +0000 (UTC)",datacamp,com,0,0,multipart/alternative,11,86,1,1,41,88241,3,62320,62320,1,1,62320,0
17,17,"Tue, 4 Jun 2019 04:00:17 -0500 (CDT)",ieee,org,0,0,multipart/alternative,8,42,0,1,30,38690,0,32417,14417,1,1,14417,0
18,18,"Sat, 07 Nov 2015 11:07:06 +0000",usebackpack,com,0,0,multipart/alternative,4,19,1,0,37,26965,0,40026,40026,5,5,40026,0
19,19,"Mon, 16 Oct 2017 13:11:26 +0530",iiitd,ac.in,0,0,multipart/alternative,0,35,1,0,106,42937,2,27686,47486,0,0,47486,0
20,20,"Thu, 29 Jun 2017 23:37:49 -0700",youtube,com,0,0,multipart/alternative,26,115,1,0,67,78421,1,23869,85069,4,3,85069,0
21,21,"Mon, 12 Sep 2016 14:09:38 +0530",iiitd,ac.in,0,0,multipart/alternative,0,7,1,1,50,10044,2,31178,50978,0,0,50978,0
22,22,"Wed, 31 Aug 2016 10:38:35 +0530",iiitd,ac.in,3,0,multipart/related,0,0,0,0,69,4254160,2,18515,38315,2,2,38315,0
23,23,"Wed, 7 Mar 2018 01:02:12 +0000 (UTC)",linkedin,com,0,0,multipart/alternative,9,84,1,1,26,89712,1,3732,3732,2,2,3732,0
24,24,"Fri, 30 Mar 2018 18:18:04 +0000",topcoder,com,0,0,multipart/alternative,12,51,0,1,51,72438,0,65884,65884,4,4,65884,0
25,25,"Wed, 12 Dec 2018 16:54:21 +0000",slack,com,0,0,multipart/alternative,1,12,0,0,39,11601,0,60861,60861,2,2,60861,0
26,26,"Thu, 18 Feb 2016 04:21:36 +0000 (UTC)",linkedin,com,0,0,multipart/alternative,4,28,0,0,45,21103,1,15696,15696,3,3,15696,0
27,27,"Mon, 11 Dec 2017 12:37:33 +0530",iiitd,ac.in,0,0,multipart/mixed,4,24,1,1,78,34048351,2,25653,45453,0,0,45453,0
28,28,"Fri, 3 Nov 2017 17:43:34 +0530",iiitd,ac.in,0,0,multipart/alternative,0,9,1,0,48,27804,2,44014,63814,4,4,63814,0
29,29,"Tue, 18 Oct 2016 05:15:00 -0700",godaddy,com,0,0,text/html,2,39,0,0,29,41441,0,44100,18900,1,1,18900,1
30,30,"Wed, 12 Aug 2015 03:02:24 +0000",usebackpack,com,0,0,multipart/alternative,4,19,0,0,39,27855,0,10944,10944,2,2,10944,0
